Genes,Phosphosite_mouse_no,Norm_Symbol
ACAD11,11,ACAD11
ACAD9,2,ACAD9
ACADL,6,ACADL
ACADM,1,ACADM
ACADSB,3,ACADSB
ACADVL,5,ACADVL
ACAN,4,ACAN
ACAT1,11,ACAT1
ACAT2,5,ACAT2
ACAT3,5,ACAT3
ACBD3,8,ACBD3
ACBD4,8,ACBD4
ACBD5,27,ACBD5
ACACA,41,ACACA
ACACB,24,ACACB
ACCS,1,ACCS
ACD,7,ACD
ACE,1,ACE
ACE2,1,ACE2
ACE3,1,ACE3
A1CF,2,A1CF
MACF1,90,MACF1
ACHE,1,ACHE
ACIN1,74,ACIN1
TNK2,30,TNK2
ACLY,23,ACLY
ACMSD,2,ACMSD
ACNAT1,1,ACNAT1
ACNAT2,1,ACNAT2
ACO2,14,ACO2
ACOT1,7,ACOT1
ACOT10,5,ACOT10
ACOT11,2,ACOT11
ACOT12,2,ACOT12
ACOT2,1,ACOT2
ACOT3,2,ACOT3
ACOT4,2,ACOT4
ACOT5,2,ACOT5
ACOT6,2,ACOT6
ACOT7,2,ACOT7
ACOT8,1,ACOT8
ACOT9,8,ACOT9
ACOX1,17,ACOX1
ACOX2,7,ACOX2
ACOX3,4,ACOX3
ACOXL,1,ACOXL
ACP1,4,ACP1
ACP4,2,ACP4
ACRBP,3,ACRBP
ACSBG1,6,ACSBG1
ACSBG2,1,ACSBG2
ACSF2,2,ACSF2
ACSL1,20,ACSL1
ACSL3,3,ACSL3
ACSL4,11,ACSL4
ACSL5,6,ACSL5
ACSL6,2,ACSL6
ACSM1,4,ACSM1
ACSM2,2,ACSM2
ACSM3,1,ACSM3
ACSM5,6,ACSM5
ACSS2,10,ACSS2
ACSS3,4,ACSS3
ACTA1,34,ACTA1
ACTA2,28,ACTA2
ACTB,35,ACTB
ACTBL2,15,ACTBL2
ACTC1,31,ACTC1
ACTG1,34,ACTG1
ACTG2,27,ACTG2
1700007I08RIK,1,1700007I08RIK
ACTN1,16,ACTN1
ACTN2,15,ACTN2
ACTN3,9,ACTN3
ACTN4,16,ACTN4
ACTR10,6,ACTR10
ACTR1A,4,ACTR1A
ACTR1B,2,ACTR1B
ACTR3B,4,ACTR3B
ACTR8,3,ACTR8
ACY3,1,ACY3
ACYP2,2,ACYP2
ADA,1,ADA
ADAD1,1,ADAD1
ADAM10,2,ADAM10
ADAM11,2,ADAM11
ADAM12,3,ADAM12
ADAM18,2,ADAM18
ADAM19,3,ADAM19
ADAM1A,4,ADAM1A
ADAM1B,4,ADAM1B
ADAM2,1,ADAM2
ADAM21,1,ADAM21
ADAM22,16,ADAM22
ADAM23,4,ADAM23
ADAM24,1,ADAM24
ADAM28,2,ADAM28
ADAM29,3,ADAM29
ADAM32,1,ADAM32
ADAM4,1,ADAM4
ADAM6A,2,ADAM6A
ADAM6B,2,ADAM6B
ADAM8,2,ADAM8
ADAM9,2,ADAM9
ADAMDEC1,3,ADAMDEC1
ADAMTS1,1,ADAMTS1
ADAMTS10,2,ADAMTS10
ADAMTS12,5,ADAMTS12
ADAMTS13,2,ADAMTS13
ADAMTS15,1,ADAMTS15
ADAMTS16,2,ADAMTS16
ADAMTS18,1,ADAMTS18
ADAMTS19,2,ADAMTS19
ADAMTS2,1,ADAMTS2
ADAMTS7,1,ADAMTS7
ADAMTSL1,2,ADAMTSL1
ADAMTSL2,3,ADAMTSL2
ADAMTSL3,2,ADAMTSL3
ADAR,8,ADAR
ADARB2,2,ADARB2
ADAT1,2,ADAT1
ADAT3,3,ADAT3
ADCK2,1,ADCK2
ADCK5,2,ADCK5
ADCY1,2,ADCY1
ADCY2,8,ADCY2
ADCY3,1,ADCY3
ADCY4,7,ADCY4
ADCY5,4,ADCY5
ADCY6,5,ADCY6
ADCY7,4,ADCY7
ADCY8,3,ADCY8
ADCY9,22,ADCY9
ADCYAP1R1,8,ADCYAP1R1
ADD1,45,ADD1
ADD2,36,ADD2
ADD3,28,ADD3
9130014G24RIK,4,9130014G24RIK
ADH1,2,ADH1
ADH4,1,ADH4
ADH5,1,ADH5
ADHFE1,3,ADHFE1
ADIPOR1,3,ADIPOR1
ADIPOR2,1,ADIPOR2
ADM2,1,ADM2
ADNP,24,ADNP
ADNP2,7,ADNP2
ADORA2B,1,ADORA2B
ADORA3,2,ADORA3
ADPRH,1,ADPRH
ADPRHL1,1,ADPRHL1
ADRA1A,2,ADRA1A
ADRA1B,11,ADRA1B
ADRA2A,10,ADRA2A
ADRA2C,6,ADRA2C
ADRB1,14,ADRB1
ADRB2,8,ADRB2
ADRB3,8,ADRB3
FDX1,6,FDX1
ADRM1,9,ADRM1
ADSL,4,ADSL
ADSS,9,ADSS
ADSSL1,2,ADSSL1
AEBP1,5,AEBP1
AEBP2,12,AEBP2
AEN,3,AEN
AES,3,AES
AFF1,15,AFF1
AF366264,1,AF366264
MLLT4,81,MLLT4
AFAP1,27,AFAP1
AFAP1L1,17,AFAP1L1
AFAP1L2,18,AFAP1L2
AFF2,5,AFF2
AFF3,3,AFF3
AFG3L1,1,AFG3L1
AFG3L2,3,AFG3L2
AFMID,1,AFMID
AFP,1,AFP
AFTPH,14,AFTPH
AG2,5,AG2
AGBL1,4,AGBL1
AGBL2,3,AGBL2
AGBL3,3,AGBL3
AGBL4,2,AGBL4
AGBL5,2,AGBL5
AGGF1,3,AGGF1
AGK,4,AGK
AGMAT,1,AGMAT
AGO1,5,AGO1
AGO2,10,AGO2
AGO3,5,AGO3
AGO4,2,AGO4
AGO61,2,AGO61
AGPAT2,3,AGPAT2
AGPAT6,2,AGPAT6
LPCAT4,1,LPCAT4
AGPAT9,5,AGPAT9
AGPS,7,AGPS
AGR2,1,AGR2
AGR3,1,AGR3
AGRN,4,AGRN
AGTR1B,2,AGTR1B
AGXT,2,AGXT
AGXT2,8,AGXT2
AGXT2L2,2,AGXT2L2
AHCYL1,15,AHCYL1
AHCYL2,15,AHCYL2
AHDC1,27,AHDC1
AHI1,8,AHI1
AHNAK,248,AHNAK
AHNAK2,119,AHNAK2
AHR,5,AHR
AHRR,6,AHRR
AHSA1,1,AHSA1
AHSA2,2,AHSA2
AI413582,1,AI413582
AI607873,6,AI607873
AI662250,1,AI662250
AI747448,4,AI747448
AI987944,4,AI987944
AICDA,6,AICDA
AIDA,4,AIDA
ANKS1B,18,ANKS1B
ENSMUSG00000078431,2,ENSMUSG00000078431
AIFM3,2,AIFM3
CRYBG1,15,CRYBG1
CRYBG2,4,CRYBG2
IKZF3,6,IKZF3
AIP,1,AIP
MAGI2,13,MAGI2
AIRE,3,AIRE
AJAP1,5,AJAP1
GM996,21,GM996
AK1,6,AK1
AK2,6,AK2
AK3,6,AK3
AK5,4,AK5
AK6,1,AK6
AK7,1,AK7
AKAP1,23,AKAP1
AKAP10,11,AKAP10
AKAP11,45,AKAP11
AKAP12,75,AKAP12
AKAP13,63,AKAP13
AKAP14,2,AKAP14
AKAP2,40,AKAP2
PALM2,9,PALM2
AKAP3,2,AKAP3
AKAP4,20,AKAP4
AKAP5,10,AKAP5
AKAP6,23,AKAP6
AKAP7,1,AKAP7
AKAP8,13,AKAP8
AKAP8L,3,AKAP8L
AKAP9,16,AKAP9
AKD1,3,AKD1
AURKAIP1,1,AURKAIP1
AKIRIN1,2,AKIRIN1
AKIRIN2,7,AKIRIN2
AKNA,23,AKNA
AKNAOS,2,AKNAOS
AKR1A1,5,AKR1A1
AKR1B1,3,AKR1B1
AKR1B10,1,AKR1B10
AKR1B8,3,AKR1B8
AKR1C12,3,AKR1C12
AKR1C13,4,AKR1C13
AKR1C19,3,AKR1C19
AKR1C21,5,AKR1C21
AKR1C20,1,AKR1C20
AKR1C18,1,AKR1C18
AKR1C6,3,AKR1C6
AKR1CL,2,AKR1CL
AKR1D1,1,AKR1D1
AKR7A2,2,AKR7A2
AKT1,17,AKT1
AKT2,18,AKT2
AKT3,14,AKT3
AKTIP,2,AKTIP
ACTL7A,2,ACTL7A
ALAD,3,ALAD
ALAS1,2,ALAS1
ALAS2,1,ALAS2
ALB,17,ALB
ALDH16A1,3,ALDH16A1
ALDH18A1,6,ALDH18A1
ALDH1A1,8,ALDH1A1
ALDH1A2,5,ALDH1A2
ALDH1A3,4,ALDH1A3
ALDH1A7,6,ALDH1A7
ALDH1B1,2,ALDH1B1
ALDH1L1,16,ALDH1L1
ALDH1L2,5,ALDH1L2
ALDH2,3,ALDH2
ALDH3A2,3,ALDH3A2
ALDH3B1,2,ALDH3B1
ALDH3B2,1,ALDH3B2
ALDH3B3,4,ALDH3B3
ALDH4A1,4,ALDH4A1
ALDH5A1,2,ALDH5A1
ALDH6A1,7,ALDH6A1
ALDH7A1,3,ALDH7A1
ALDH8A1,3,ALDH8A1
ALDH9A1,1,ALDH9A1
ALDOA,23,ALDOA
ALDOART1,17,ALDOART1
ALDOB,12,ALDOB
ALDOC,11,ALDOC
ALG10B,1,ALG10B
ALG11,2,ALG11
ALG12,1,ALG12
ALG14,1,ALG14
ALG2,2,ALG2
ALG5,1,ALG5
ALG9,3,ALG9
PDCD6IP,4,PDCD6IP
ALK,4,ALK
ACVRL1,3,ACVRL1
ACVR1B,4,ACVR1B
ACVR1C,1,ACVR1C
ALKBH1,2,ALKBH1
ALKBH3,5,ALKBH3
ALKBH5,11,ALKBH5
ALKBH6,1,ALKBH6
ALMS1,26,ALMS1
ALOX12,3,ALOX12
ALOX12E,3,ALOX12E
ALOXE3,5,ALOXE3
NAT10,5,NAT10
GM3383,1,GM3383
ALPK3,17,ALPK3
ALPK2,6,ALPK2
ALPK1,1,ALPK1
LSM14A,12,LSM14A
IAP,1,IAP
ALPL,2,ALPL
AKP5,1,AKP5
ALS2,21,ALS2
ALS2CL,4,ALS2CL
ALS2CR11,1,ALS2CR11
ALS2CR4,5,ALS2CR4
ALX3,1,ALX3
ALX4,1,ALX4
AMACR,6,AMACR
AMBP,1,AMBP
AMBRA1,3,AMBRA1
AMD1,1,AMD1
AMDHD1,4,AMDHD1
AMELX,1,AMELX
AMFR,4,AMFR
AMH,1,AMH
AMICA1,3,AMICA1
AMIGO1,4,AMIGO1
AMIGO2,1,AMIGO2
AMIGO3,1,AMIGO3
RUNX1,13,RUNX1
RUNX3,4,RUNX3
RUNX2,17,RUNX2
AMMECR1,1,AMMECR1
AMMECR1L,2,AMMECR1L
AMN1,4,AMN1
AMOT,13,AMOT
AMOTL1,21,AMOTL1
AMOTL2,13,AMOTL2
AMPD1,1,AMPD1
AMPD2,14,AMPD2
AMPD3,5,AMPD3
AMPH,17,AMPH
PRKAA1,22,PRKAA1
PRKAA2,11,PRKAA2
PRKAB1,17,PRKAB1
PRKAB2,11,PRKAB2
PRKAG1,3,PRKAG1
PRKAG2,27,PRKAG2
PRKAG3,1,PRKAG3
STAMBP,6,STAMBP
AMT,2,AMT
AMY1,2,AMY1
AMY2A5,3,AMY2A5
AMZ2,3,AMZ2
ANG2,2,ANG2
ANGEL2,1,ANGEL2
AGT,1,AGT
ANGPT2,2,ANGPT2
ANGPT4,1,ANGPT4
ANGPTL1,2,ANGPTL1
ANGPTL2,3,ANGPTL2
ANGPTL3,2,ANGPTL3
ANGPTL7,1,ANGPTL7
ANLN,43,ANLN
ANK1,31,ANK1
ANK2,153,ANK2
ANK3,61,ANK3
ANKAR,3,ANKAR
ANKRD5,2,ANKRD5
ANKFN1,6,ANKFN1
ANKFY1,1,ANKFY1
ANKH,2,ANKH
ANKHD1,27,ANKHD1
ANKIB1,12,ANKIB1
ANKK1,2,ANKK1
ANKLE2,18,ANKLE2
ANKMY1,3,ANKMY1
ANKRA2,2,ANKRA2
ANKRD10,4,ANKRD10
ANKRD11,34,ANKRD11
ANKRD12,12,ANKRD12
ANKRD13A,5,ANKRD13A
ANKRD13B,6,ANKRD13B
ANKRD13C,1,ANKRD13C
ANKRD13D,4,ANKRD13D
KANK1,12,KANK1
ANKRD17,38,ANKRD17
ANKRD2,4,ANKRD2
ANKRD23,1,ANKRD23
KANK2,21,KANK2
ANKRD26,7,ANKRD26
ANKRD27,3,ANKRD27
ANKRD28,2,ANKRD28
RIPK4,5,RIPK4
ANKRD32,5,ANKRD32
ANKRD33,1,ANKRD33
ANKRD33B,4,ANKRD33B
ANKRD34A,11,ANKRD34A
ANKRD34C,4,ANKRD34C
ANKRD39,1,ANKRD39
ANKRD40,2,ANKRD40
ANKRD42,3,ANKRD42
ANKRD43,4,ANKRD43
ANKRD44,2,ANKRD44
ANKRD45,1,ANKRD45
KANK3,12,KANK3
ANKRD49,1,ANKRD49
ANKRD50,9,ANKRD50
ANKRD52,6,ANKRD52
ANKRD53,1,ANKRD53
ANKRD54,5,ANKRD54
ANKRD55,2,ANKRD55
ANKRD56,5,ANKRD56
SOWAHC,6,SOWAHC
ANKRD58,1,ANKRD58
ANKRD6,3,ANKRD6
ANKRD61,3,ANKRD61
GM1337,7,GM1337
E230028L10RIK,1,E230028L10RIK
ANKRD7,1,ANKRD7
ANKS1A,40,ANKS1A
ANKS3,8,ANKS3
ANKS6,5,ANKS6
ANKZF1,5,ANKZF1
ANO1,9,ANO1
ANO2,1,ANO2
ANO3,5,ANO3
ANO5,1,ANO5
ANO6,6,ANO6
ANO7,1,ANO7
ANO8,5,ANO8
ANO9,1,ANO9
NPR3,2,NPR3
ANP32A,5,ANP32A
ANP32B,9,ANP32B
ANP32-PS,2,ANP32-PS
NPR1,4,NPR1
NPR2,3,NPR2
ANTXR1,4,ANTXR1
ANTXR2,2,ANTXR2
ANXA1,13,ANXA1
ANXA11,2,ANXA11
ANXA2,22,ANXA2
ANXA3,3,ANXA3
ANXA4,4,ANXA4
ANXA5,6,ANXA5
ANXA6,20,ANXA6
ANXA7,1,ANXA7
ANXA8,1,ANXA8
AOAH,1,AOAH
AOC2,1,AOC2
AOC3,1,AOC3
KDM1B,3,KDM1B
AOX1,9,AOX1
AOX3L1,4,AOX3L1
AOX3,6,AOX3
AOX4,3,AOX4
TFAP2A,6,TFAP2A
TFAP2B,2,TFAP2B
TCFAP2E,2,TCFAP2E
TFAP2C,2,TFAP2C
TCFAP4,6,TCFAP4
AP1AR,6,AP1AR
AP1B1,10,AP1B1
AP1G1,2,AP1G1
AP1M1,4,AP1M1
AP1M2,2,AP1M2
AP1S1,1,AP1S1
AP2A1,16,AP2A1
AP2A2,4,AP2A2
AP2B1,19,AP2B1
AP2M1,7,AP2M1
AP2S1,1,AP2S1
AP3B1,11,AP3B1
AP3B2,7,AP3B2
AP3D1,19,AP3D1
AP3M1,5,AP3M1
AP3M2,1,AP3M2
AP3S1,5,AP3S1
AP4B1,3,AP4B1
AP4E1,11,AP4E1
AP4M1,1,AP4M1
2310035K24RIK,1,2310035K24RIK
KIAA0415,1,KIAA0415
APAF1,2,APAF1
APBA1,26,APBA1
APBA2,5,APBA2
APBA3,3,APBA3
APBB2,16,APBB2
APBB3,3,APBB3
APC,115,APC
ANAPC1,31,ANAPC1
ANAPC2,12,ANAPC2
ANAPC4,4,ANAPC4
ANAPC5,7,ANAPC5
APCDD1,1,APCDD1
APC2,25,APC2
APCS,2,APCS
APEX1,3,APEX1
APEH,5,APEH
APEX2,5,APEX2
GM15429,2,GM15429
API5,8,API5
APLF,11,APLF
APLNR,1,APLNR
APLP1,2,APLP1
APLP2,5,APLP2
APMAP,1,APMAP
APOA1,6,APOA1
APOA1BP,5,APOA1BP
APOA2,2,APOA2
APOA4,2,APOA4
APOA5,6,APOA5
APOB,13,APOB
APOB48R,15,APOB48R
APOBEC1,5,APOBEC1
APOBEC2,1,APOBEC2
APOBEC3,10,APOBEC3
APOC2,2,APOC2
APOC3,1,APOC3
APOD,1,APOD
APOE,4,APOE
APOH,3,APOH
APOL10B,2,APOL10B
APOL11B,1,APOL11B
APOL8,1,APOL8
APOL7C,1,APOL7C
APOL9B,2,APOL9B
APON,3,APON
APOO,1,APOO
APOOL,10,APOOL
2810002N01RIK,3,2810002N01RIK
APP,14,APP
NAE1,1,NAE1
APPL1,9,APPL1
APPL2,4,APPL2
PDS5B,34,PDS5B
APRT,3,APRT
SH2B2,14,SH2B2
APTX,1,APTX
SHROOM2,33,SHROOM2
MIP,1,MIP
AQP1,4,AQP1
AQP12,2,AQP12
AQP2,4,AQP2
AQP4,7,AQP4
AQP5,1,AQP5
AQP7,1,AQP7
AQP9,4,AQP9
AQR,2,AQR
ARAF,30,ARAF
1700024P16RIK,9,1700024P16RIK
ARAP3,13,ARAP3
NOL3,1,NOL3
ARCN1,6,ARCN1
AREL1,5,AREL1
ARFGAP3,17,ARFGAP3
ARFGAP1,21,ARFGAP1
ARF1,3,ARF1
ARF2,3,ARF2
ARF3,3,ARF3
ARF4,2,ARF4
ARF4OS,3,ARF4OS
ARF5,4,ARF5
ARF6,1,ARF6
ARFIP1,11,ARFIP1
ARFIP2,5,ARFIP2
ARFGEF1,16,ARFGEF1
ARFGEF2,30,ARFGEF2
ARFGEF3,28,ARFGEF3
ABL2,35,ABL2
ARG1,8,ARG1
ARG2,1,ARG2
ARC,1,ARC
SORBS2,97,SORBS2
ARGLU1,8,ARGLU1
ARHGAP1,13,ARHGAP1
ARHGAP10,8,ARHGAP10
ARHGAP11A,13,ARHGAP11A
ARHGAP12,26,ARHGAP12
SRGAP1,20,SRGAP1
SRGAP3,28,SRGAP3
ARHGAP15,8,ARHGAP15
ARHGAP17,22,ARHGAP17
ARHGAP18,10,ARHGAP18
ARHGAP19,2,ARHGAP19
CHN1,1,CHN1
ARHGAP20,9,ARHGAP20
ARHGAP21,56,ARHGAP21
ARHGAP22,13,ARHGAP22
ARHGAP23,39,ARHGAP23
ARHGAP24,20,ARHGAP24
ARHGAP25,29,ARHGAP25
ARHGAP26,4,ARHGAP26
ARHGAP27,25,ARHGAP27
ARHGAP28,11,ARHGAP28
ARHGAP29,19,ARHGAP29
CHN2,5,CHN2
ARHGAP30,9,ARHGAP30
ARHGAP32,45,ARHGAP32
ARHGAP36,5,ARHGAP36
KIAA1688,22,KIAA1688
ARHGAP4,4,ARHGAP4
ARHGAP42,16,ARHGAP42
ARHGAP5,18,ARHGAP5
ARHGAP6,20,ARHGAP6
ARHGAP8,3,ARHGAP8
ARHGAP9,3,ARHGAP9
ARHGEF1,17,ARHGEF1
ARHGEF10,19,ARHGEF10
ARHGEF10L,5,ARHGEF10L
ARHGEF11,45,ARHGEF11
ARHGEF12,23,ARHGEF12
MCF2L,17,MCF2L
ARHGEF16,8,ARHGEF16
ARHGEF17,43,ARHGEF17
ARHGEF18,16,ARHGEF18
ARHGEF19,4,ARHGEF19
ARHGEF2,40,ARHGEF2
ARHGEF3,2,ARHGEF3
GM941,11,GM941
4933429F08RIK,1,4933429F08RIK
ARHGEF38,2,ARHGEF38
E130306D19RIK,1,E130306D19RIK
ARHGEF4,2,ARHGEF4
ARHGEF5,13,ARHGEF5
ARHGEF6,13,ARHGEF6
ARHGEF7,32,ARHGEF7
ARHGEF9,1,ARHGEF9
ARID1A,34,ARID1A
ARID1B,36,ARID1B
ARID2,14,ARID2
ARID3B,2,ARID3B
ARID4B,35,ARID4B
ARID5A,4,ARID5A
ARIH2,1,ARIH2
ARL1,1,ARL1
ARL11,1,ARL11
ARL13A,2,ARL13A
ARL13B,7,ARL13B
2700007P21RIK,4,2700007P21RIK
ARL2,3,ARL2
ARL2BP,1,ARL2BP
ARL3,2,ARL3
ATL2,10,ATL2
ARL6IP4,4,ARL6IP4
ARL6IP5,2,ARL6IP5
ARL6IP6,3,ARL6IP6
ARL8A,2,ARL8A
ARL8B,2,ARL8B
ARMC1,6,ARMC1
ARMC10,5,ARMC10
ARMC2,4,ARMC2
ARMC4,1,ARMC4
ARMC7,1,ARMC7
ARMC8,2,ARMC8
ARMC9,1,ARMC9
ARMCX1,1,ARMCX1
ARMCX2,5,ARMCX2
ARMCX3,8,ARMCX3
ARMCX4,5,ARMCX4
ARMCX5,1,ARMCX5
ARMT1,2,ARMT1
ARNT,2,ARNT
ARNT2,1,ARNT2
ACTR2,5,ACTR2
ACTR3,10,ACTR3
ARPC1A,4,ARPC1A
ARPC1B,6,ARPC1B
ARPC2,2,ARPC2
ARPC3,1,ARPC3
ARPC4,1,ARPC4
ARPC5,3,ARPC5
ARPC5L,1,ARPC5L
2610034B18RIK,1,2610034B18RIK
ARPP19,10,ARPP19
ARPP21,12,ARPP21
ARR3,2,ARR3
ARRB1,4,ARRB1
ARRB2,7,ARRB2
ARRDC1,2,ARRDC1
ARRDC5,1,ARRDC5
ARSI,1,ARSI
ARSJ,1,ARSJ
ART1,1,ART1
ART2B,1,ART2B
ART5,2,ART5
DCLRE1C,5,DCLRE1C
ERAP1,1,ERAP1
ARVCF,27,ARVCF
ARXES2,1,ARXES2
TBC1D4,48,TBC1D4
ASAH1,2,ASAH1
ASAH2,2,ASAH2
ACAM,2,ACAM
ASB2,2,ASB2
ASB3,2,ASB3
ASB4,1,ASB4
SLC10A2,1,SLC10A2
ASCC1,3,ASCC1
ASCC2,4,ASCC2
ASCC3,3,ASCC3
ASCL5,1,ASCL5
ASCL1,1,ASCL1
CD3EAP,12,CD3EAP
ASF1A,3,ASF1A
ASF1B,1,ASF1B
ASGR2,3,ASGR2
ASGR1,1,ASGR1
ASH1L,18,ASH1L
ASH2L,10,ASH2L
ACCN2,5,ACCN2
ACCN4,1,ACCN4
MAP3K5,14,MAP3K5
ASL,3,ASL
